category,contract,variant,slither,aderyn,semgrep,solhint,mythril,halmos,echidna,medusa,groq,gemini,qwen
OWASP_01,MVE_O1_Fixed,Fixed,⚠️ 4,✅,⚠️ 2,✅,⚠️ 1,✅ PASS,✅ OK,✅ OK,🟢 8/10,🟢 7/10,🟢 8/10
OWASP_01,MVE_O1_Fixed2,Fixed,⚠️ 5,✅,⚠️ 3,✅,⚠️ 1,—,✅ OK,🔴 VULN,🟡 6/10,🟡 4/10,🟢 7/10
OWASP_01,MVE_O1_Vuln,Vuln,⚠️ 6,✅,⚠️ 2,✅,⚠️ 2,🔴 FAIL,🔴 VULN,🔴 VULN,🔴 2/10,🔴 1/10,🔴 3/10
OWASP_01,MVE_O1_Vuln2,Vuln,⚠️ 7,✅,⚠️ 4,✅,⚠️ 2,—,✅ OK,🔴 VULN,🔴 2/10,🔴 2/10,🔴 3/10
OWASP_02,MVE_O2_Fixed,Fixed,⚠️ 3,✅,⚠️ 4,✅,⚠️ 1,—,✅ OK,✅ OK,🟡 6/10,🟡 6/10,🟡 4/10
OWASP_02,MVE_O2_Vuln,Vuln,⚠️ 3,✅,⚠️ 3,✅,⚠️ 1,—,🔴 VULN,🔴 VULN,🟡 4/10,🔴 2/10,🔴 3/10
OWASP_03,MVE_O3_Fixed,Fixed,⚠️ 6,✅,⚠️ 4,✅,⚠️ 1,—,✅ OK,✅ OK,🟡 6/10,🔴 2/10,🟡 4/10
OWASP_03,MVE_O3_Vuln,Vuln,⚠️ 3,✅,⚠️ 5,✅,⚠️ 2,—,🔴 VULN,🔴 VULN,🟡 4/10,🔴 2/10,🟡 4/10
OWASP_04,MVE_O4_Fixed,Fixed,⚠️ 3,✅,⚠️ 4,✅,⚠️ 1,—,✅ OK,✅ OK,🟡 6/10,🔴 2/10,🟡 4/10
OWASP_04,MVE_O4_Vuln,Vuln,⚠️ 3,✅,⚠️ 3,✅,⚠️ 1,—,🔴 VULN,🔴 VULN,🟡 4/10,🔴 3/10,🔴 3/10
OWASP_05,MVE_O5_Fixed,Fixed,⚠️ 5,✅,⚠️ 6,✅,⚠️ 1,—,✅ OK,✅ OK,🟢 7/10,🔴 2/10,🟡 5/10
OWASP_05,MVE_O5_Fixed2,Fixed,⚠️ 4,✅,⚠️ 4,✅,✅ 0,—,✅ OK,✅ OK,🟢 8/10,🔴 2/10,🟢 9/10
OWASP_05,MVE_O5_Vuln,Vuln,⚠️ 5,✅,⚠️ 3,✅,✅ 0,—,✅ OK,✅ OK,🟡 4/10,🔴 3/10,🔴 3/10
OWASP_05,MVE_O5_Vuln2,Vuln,⚠️ 4,✅,⚠️ 4,✅,✅ 0,—,✅ OK,✅ OK,🟡 4/10,🟡 4/10,🟡 4/10
OWASP_06,MVE_O6_Fixed,Fixed,⚠️ 7,✅,⚠️ 4,✅,⚠️ 7,—,✅ OK,✅ OK,🟡 4/10,🔴 1/10,🟡 5/10
OWASP_06,MVE_O6_Fixed2,Fixed,⚠️ 3,✅,⚠️ 2,✅,⚠️ 1,—,✅ OK,✅ OK,🟡 6/10,🟡 4/10,🟢 9/10
