image,full_image,default_tag,category,recommended_scan_tag,analysis_focus,notes
nginx,nginx:latest,latest,Web & Reverse Proxies,latest,Application-layer & dependency CVEs,Use fixed tag instead of 'latest' for reproducibility
httpd,httpd:latest,latest,Web & Reverse Proxies,latest,Application-layer & dependency CVEs,Use fixed tag instead of 'latest' for reproducibility
caddy,caddy:latest,latest,Web & Reverse Proxies,latest,Application-layer & dependency CVEs,Use fixed tag instead of 'latest' for reproducibility
traefik,traefik:latest,latest,Web & Reverse Proxies,latest,Application-layer & dependency CVEs,Use fixed tag instead of 'latest' for reproducibility
haproxy,haproxy:latest,latest,Web & Reverse Proxies,latest,Application-layer & dependency CVEs,Use fixed tag instead of 'latest' for reproducibility
envoyproxy/envoy,envoyproxy/envoy:latest,latest,Web & Reverse Proxies,latest,Application-layer & dependency CVEs,Use fixed tag instead of 'latest' for reproducibility
varnish,varnish:latest,latest,Web & Reverse Proxies,latest,Application-layer & dependency CVEs,Use fixed tag instead of 'latest' for reproducibility
tomcat,tomcat:latest,latest,Web & Reverse Proxies,latest,Application-layer & dependency CVEs,Use fixed tag instead of 'latest' for reproducibility
jetty,jetty:latest,latest,Web & Reverse Proxies,latest,Application-layer & dependency CVEs,Use fixed tag instead of 'latest' for reproducibility
php,php:latest,latest,Web & Reverse Proxies,latest,Application-layer & dependency CVEs,Use fixed tag instead of 'latest' for reproducibility
gunicorn,gunicorn:latest,latest,Web & Reverse Proxies,latest,Application-layer & dependency CVEs,Use fixed tag instead of 'latest' for reproducibility
uwsgi,uwsgi:latest,latest,Web & Reverse Proxies,latest,Application-layer & dependency CVEs,Use fixed tag instead of 'latest' for reproducibility
openresty/openresty,openresty/openresty:latest,latest,Web & Reverse Proxies,latest,Application-layer & dependency CVEs,Use fixed tag instead of 'latest' for reproducibility
node,node:latest,latest,Web & Reverse Proxies,latest,Application-layer & dependency CVEs,Use fixed tag instead of 'latest' for reproducibility
django,django:latest,latest,Web & Reverse Proxies,latest,Application-layer & dependency CVEs,Use fixed tag instead of 'latest' for reproducibility
flask,flask:latest,latest,Web & Reverse Proxies,latest,Application-layer & dependency CVEs,Use fixed tag instead of 'latest' for reproducibility
ruby,ruby:latest,latest,Web & Reverse Proxies,latest,Application-layer & dependency CVEs,Use fixed tag instead of 'latest' for reproducibility
laravelphp/php-fpm,laravelphp/php-fpm:latest,latest,Web & Reverse Proxies,latest,Application-layer & dependency CVEs,Use fixed tag instead of 'latest' for reproducibility
expressjs/express,expressjs/express:latest,latest,Web & Reverse Proxies,latest,Application-layer & dependency CVEs,Use fixed tag instead of 'latest' for reproducibility
springboot,springboot:latest,latest,Web & Reverse Proxies,latest,Application-layer & dependency CVEs,Use fixed tag instead of 'latest' for reproducibility
mysql,mysql:latest,latest,Databases,latest,Application-layer & dependency CVEs,Use fixed tag instead of 'latest' for reproducibility
postgres,postgres:latest,latest,Databases,latest,Application-layer & dependency CVEs,Use fixed tag instead of 'latest' for reproducibility
mariadb,mariadb:latest,latest,Databases,latest,Application-layer & dependency CVEs,Use fixed tag instead of 'latest' for reproducibility
mongo,mongo:latest,latest,Databases,latest,Application-layer & dependency CVEs,Use fixed tag instead of 'latest' for reproducibility
redis,redis:latest,latest,Databases,latest,Application-layer & dependency CVEs,Use fixed tag instead of 'latest' for reproducibility
cassandra,cassandra:latest,latest,Databases,latest,Application-layer & dependency CVEs,Use fixed tag instead of 'latest' for reproducibility
neo4j,neo4j:latest,latest,Databases,latest,Application-layer & dependency CVEs,Use fixed tag instead of 'latest' for reproducibility
couchdb,couchdb:latest,latest,Databases,latest,Application-layer & dependency CVEs,Use fixed tag instead of 'latest' for reproducibility
influxdb,influxdb:latest,latest,Databases,latest,Application-layer & dependency CVEs,Use fixed tag instead of 'latest' for reproducibility
