Feature,Importance
wavelet-LLH_glszm_SizeZoneNonUniformityNormalized,0.018074756282154637
wavelet-LLH_glszm_SmallAreaEmphasis,0.01666844925288296
lbp-3D-m1_glrlm_ShortRunEmphasis,0.01182203693250438
log-sigma-2-0-mm-3D_firstorder_InterquartileRange,0.011611523992152355
wavelet-LLL_glrlm_ShortRunEmphasis,0.011540554837785131
lbp-2D_glrlm_ShortRunEmphasis,0.010724036474758083
lbp-3D-m1_glrlm_ShortRunLowGrayLevelEmphasis,0.010018201922641641
log-sigma-2-0-mm-3D_gldm_SmallDependenceEmphasis,0.009959150987249175
log-sigma-2-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation,0.008241720720139567
lbp-3D-m2_glrlm_ShortRunEmphasis,0.007849175002682465
lbp-2D_glrlm_ShortRunLowGrayLevelEmphasis,0.007673876573406488
wavelet-LLL_glrlm_RunLengthNonUniformityNormalized,0.007514809233504361
wavelet-HHH_gldm_SmallDependenceLowGrayLevelEmphasis,0.007366524930766869
wavelet-HLH_gldm_DependenceNonUniformityNormalized,0.00699775718390004
exponential_glrlm_ShortRunLowGrayLevelEmphasis,0.006907183967694547
wavelet-HHH_glszm_LargeAreaLowGrayLevelEmphasis,0.006308675553210928
wavelet-LHH_gldm_DependenceNonUniformityNormalized,0.006232312664768509
lbp-3D-m1_firstorder_RootMeanSquared,0.006105710935953821
log-sigma-2-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.006071765704769452
wavelet-HHH_glszm_LargeAreaEmphasis,0.006056714379556233
lbp-3D-m1_glrlm_ShortRunHighGrayLevelEmphasis,0.005607593216787792
wavelet-LHH_gldm_SmallDependenceLowGrayLevelEmphasis,0.005538350923675613
wavelet-HHH_glszm_LargeAreaHighGrayLevelEmphasis,0.005317519087015607
lbp-3D-m2_glrlm_ShortRunHighGrayLevelEmphasis,0.005095353902259892
lbp-3D-m2_glrlm_ShortRunLowGrayLevelEmphasis,0.004999390236038509
log-sigma-2-0-mm-3D_glszm_SmallAreaEmphasis,0.004982237688729793
log-sigma-2-0-mm-3D_firstorder_MeanAbsoluteDeviation,0.0045338754109757635
log-sigma-1-0-mm-3D_glcm_MaximumProbability,0.004521145417821715
wavelet-HHH_gldm_SmallDependenceEmphasis,0.0044596803152035245
wavelet-LHL_glcm_Correlation,0.0044219264201820875
lbp-3D-m1_gldm_DependenceVariance,0.004320720547764567
