ID;Text
D2-1;The Solar System faces a dramatic future over billions of years. In approximately 5-7 billion years, our Sun will exhaust its hydrogen fuel and expand into a red giant, likely engulfing Mercury and Venus. Earth may either be consumed or rendered uninhabitable as oceans and atmosphere evaporate. The outer planets will survive but experience significant changes in temperature and orbital dynamics. Eventually, the Sun will shed its outer layers, creating a planetary nebula while its core collapses into a white dwarf star.
This white dwarf will slowly cool over trillions of years, leaving our former solar neighborhood incredibly dim. Any surviving planets will orbit in perpetual darkness, frozen and lifeless.
D2-2;Spermidine is an aliphatic polyamine. Spermidine synthase (SPDS) catalyzes its formation from putrescine. It is a precursor to other polyamines, such as spermine and its structural isomer thermospermine. Spermidine synchronizes an array of biological processes, (such as Ca2+, Na+, K+ -ATPase) thus maintaining membrane potential and controlling intracellular pH and volume. Spermidine regulates biological processes, such as Ca2+ influx by glutamatergic N-methyl-D-aspartate receptor (NMDA receptor), which has been associated with nitric oxide synthase (NOS) and cGMP/PKG pathway activation and a decrease of Na+,K+-ATPase activity in cerebral cortex synaptosomes. Spermidine is a longevity agent in mammals due to various mechanisms of action, which are just beginning to be understood. 
D2-3;The feasibility of extraterrestrial life is a subject of intense scientific interest, supported by discoveries in astrobiology, planetary science, and extremophile research. While no direct evidence has been found, several factors suggest its plausibility. Thousands of exoplanets have been discovered, some located in the habitable zone where liquid water could exist, a key ingredient for life as we know it. The discovery of extremophiles on Earth, thriving in extreme conditions such as deep-sea vents and frozen tundras, suggests that life could also adapt to harsh extraterrestrial environments like those on Mars, Europa, or Enceladus. Additionally, complex organic molecules, the building blocks of life, have been detected in meteorites, comets, and interstellar clouds, indicating that life’s fundamental chemistry is widespread.
D2-4;Many cross sectional and prospective studies have confirmed the association between obesity and type 2 diabetes. Most people with type 2 diabetes are overweight or obese: more than 85% of people with type 2 diabetes in southeast Scotland in 2005 had a body mass index (weight in kilograms divided by height in metres squared) of over 25. Recent evidence indicates that high waist circumference may be an even better indicator than body mass index (BMI) of increased risk of type 2 diabetes. The risk of developing diabetes over a 14 year follow-up period in the nurses' health study was 49 times higher among women whose baseline BMI was >35 than among women whose baseline BMI was <22.
D2-5;There were observations of spectral lines. That means there are distinct levels where electrons stay. Classical mechanics does not allow such distinctive levels for electrons to stay. For this new approach is needed. In classical mechanics, energy remains constant. This must be building block. It is my interpretation. Then. he thought that the electrons obey some function distribution which give distinctive levels. This is possible for sin and cos functions. So the electrons should obey sin and cos functions and also obey total energy conservation i.e to start with kinetic energy + potential energy = constant. Potential energy and sin function is not problem, because we know pendulum oscillations. How to modify kinetic energy to give sine function.
D2-6;The active quest for extra-solar planets has opened a new chapter in the book of the search for extra-terrestrial life. This was already an active field of science with the exploration of the Solar System by means of space probes, which gave rise to a ‘space age’ from 1957 when Sputnik-1, the first Earth-orbiting artificial satellite, was launched. Current technology allows us to land a robotic chemistry laboratory on other Solar System bodies, or return samples to Earth, the latter coming with the advantage of being able to adapt analysis strategies to unexpected findings. Based on our current understanding, Mars, Europa, Enceladus and, if we consider life based on a liquid other than water, Titan are the most promising places.
D2-7;Spermidine synthases are essential enzymes that function as aminopropyltransferases, transferring aminopropyl groups from decarboxylated S-adenosylmethionine to amine acceptors, forming polyamines. Structurally, these enzymes contain a SAM-MT fold and typically form homodimers. The mechanism follows an SN2 reaction pathway where spermidine synthase (SPDS) catalyzes the formation of spermidine from putrescine The human spermidine synthase is highly specific for putrescine as the amine acceptor. Crystal structures have been solved at high resolution, including the putrescine aminopropyltransferase from Thermotoga maritima at 1.5 Å . These structural studies, combined with biochemical analyses of enzymes from various organisms, have provided detailed insights into the catalytic mechanism and substrate specificity of this important class of enzymes.
D2-8;Fossils appear to have directly contributed to the mythology of many civilizations, including the ancient Greeks. Classical Greek historian Herodotos wrote of an area near Hyperborea where gryphons protected golden treasure. There was indeed gold mining in that approximate region, where beaked Protoceratops skulls were common as fossils. A later Greek scholar, Aristotle, eventually realized that fossil seashells from rocks were similar to those found on the beach, indicating the fossils were once living animals.  He had previously explained them in terms of vaporous exhalations,  which Persian polymath Avicenna modified into the theory of petrifying fluids (succus lapidificatus). Recognition of fossil seashells as originating in the sea was built upon in the 14th century by Albert of Saxon.
D2-9;"There are two types of diabetes: type 1, where your body is unable to make insulin, and type 2, where your body is unable to properly use the insulin it makes. When your body doesn't have enough insulin, you can't move glucose from your blood to the cells, and then you don't get the nutrients your body needs for energy. Type 2 diabetes is also often genetic, as in my case. The fact that there's no break from the disease. I have diabetes 24/7, 365 days a year. Managing what I eat is a constant challenge, especially when there are potato chips nearby. And honestly, I hate cooking and I'm always looking for easy recipes."
D2-10;The origin of angiosperms (flowering plants) represents what Charles Darwin famously called an ""abominable mystery"" due to their apparent sudden appearance and rapid diversification in the fossil record. Modern research combines multiple lines of evidence to address this evolutionary puzzle. The fossil record shows unequivocal angiosperm evidence beginning in the Early Cretaceous (approximately 125-130 million years ago), with remarkably diverse forms appearing within 20-30 million years. Key early fossils include Archaefructus and Montsechia, with water lily relatives among the earliest documented flowering plants. Molecular evidence, however, suggests an earlier origin than fossils indicate. DNA-based phylogenies identify Amborella, water lilies, and Austrobaileyales as the earliest-diverging lineages. Molecular clock analyses often place angiosperm origins in the Jurassic period (145-201 million years ago).
D2-11;These nutrients are needed to keep bones, teeth and muscles healthy. A lack of vitamin D can lead to bone deformities such as rickets in children, and bone pain caused by a condition called osteomalacia in adults. Government advice is that everyone should consider taking a daily vitamin D supplement during the autumn and winter. People at high risk of not getting enough vitamin D, all children aged 1 to 4, and all babies (unless they're having more than 500ml of infant formula a day) should take a daily supplement throughout the year. There have been some reports about vitamin D reducing the risk of coronavirus (COVID-19).
D2-12;Vitamin D is essential for maintaining healthy bones, teeth, and immune function, primarily by regulating calcium and phosphorus levels in the body. Humans can synthesize vitamin D through skin exposure to sunlight (UVB rays), but factors like limited sun exposure, darker skin, age, and geographic location can reduce production. The recommended daily intake varies by age and health status. For most adults, 600-800 IU (15-20 µg) per day is sufficient, though some individuals may require higher doses, especially if deficient. Dietary sources include fatty fish, fortified foods, and supplements. Deficiency can lead to rickets in children, osteomalacia in adults, and weakened immunity, making adequate vitamin D intake crucial for overall health and well-being. Regular checks can ensure optimal levels.
D2-13;Within 50 million years, the pressure and density of hydrogen in the center of the protostar became great enough for it to begin thermonuclear fusion.As helium accumulates at its core, the Sun is growing brighter; early in its main-sequence life its brightness was 70% that of what it is today.The temperature, reaction rate, pressure, and density increased until hydrostatic equilibrium was achieved: the thermal pressure counterbalancing the force of gravity. At this point, the Sun became a main-sequence star. Solar wind from the Sun created the heliosphere and swept away the remaining gas and dust from the protoplanetary disc into interstellar space.
D2-14;Molecular data on relationships within angiosperms confirm the view that their increasing morphological diversity through the Cretaceous reflected their evolutionary radiation. Despite the early appearance of aquatics and groups with simple flowers, the record is consistent with inferences from molecular trees that the first angiosperms were woody plants with pinnately veined leaves, multiparted flowers, uniovulate ascidiate carpels, and columellar monosulcate pollen. Molecular data appear to refute the hypothesis based on morphology that angiosperms and Gnetales are closest living relatives. Morphological analyses of living and fossil seed plants that assume molecular relationships identify glossopterids, Bennettitales, and Caytonia as angiosperm relatives; these results are consistent with proposed homologies between the cupule of glossopterids and Caytonia and the angiosperm bitegmic ovule.
D2-15;There are an estimated 2 trillion galaxies in the known Universe, some will hold millions and others will hold billions of stars. Most of the stars will have various amounts of planets in orbit around them and trillions of those planets will be in the Goldilocks Zone, which is an area in space that has the right conditions for liquid water to exist. So the logical thing you might say is “There must be life on some of them”. Maybe some other intelligent life form on a faraway world is asking that same question. If we are alone that would make us more special and unique than we could ever imagine.
D2-16;Type 2 diabetes rates have risen dramatically worldwide since the 1980s, constituting a global health crisis. The prevalence has more than doubled over the past three decades, increasing from approximately 108 million adults in 1980 to over 537 million (10.5% of global adult population) by 2021. This surge has been particularly pronounced in middle-income countries experiencing rapid urbanization, with Pacific Islands and Middle Eastern nations showing the highest prevalence rates, while China and India have the largest absolute numbers. Key drivers include rising obesity rates, increasingly sedentary lifestyles, Westernization of diets, aging populations, and improved detection methods. While some high-income countries have shown signs of stabilization recently, global projections remain concerning, with cases expected to reach 783 million by 2045.
D2-17;Quarks and gluons are both fundamental particles in the Standard Model of particle physics, but they have distinct roles. Quarks are the building blocks of matter, combining to form protons, neutrons, and other hadrons. They come in six flavors: up, down, charm, strange, top, and bottom. Quarks have fractional electric charges and interact via the strong nuclear force, which holds them together inside protons and neutrons. Gluons, on the other hand, are force carrier particles responsible for transmitting the strong nuclear force between quarks. Unlike quarks, gluons have no mass and no electric charge, but they do carry a property called color charge, which allows them to bind quarks together through a phenomenon known as color confinement.
D2-18;Insects as food or edible insects are insect species used for human consumption. Over 2 billion people are estimated to eat insects on a daily basis. Globally, more than 2,000 insect species are considered edible, though far fewer are discussed for industrialized mass production and regionally authorized for use in food. Many insects are highly nutritious, though nutritional content depends on species and other factors such as diet and age. Insects offer a wide variety of flavors and are commonly consumed whole or pulverized for use in dishes and processed food products such as burger patties, pasta, or snacks. Like other foods, there can be risks associated with consuming insects, such as allergic reactions.
D2-19;Schrödinger's cat is a famous thought experiment proposed by physicist Erwin Schrödinger in 1935 to illustrate the apparent paradoxes of quantum mechanics. It involves a hypothetical scenario where a cat is placed in a sealed box with a radioactive atom, a Geiger counter, and a poison mechanism. If the radioactive atom decays (a random quantum event), the poison is released, killing the cat. According to quantum mechanics, until observed, the radioactive atom exists in a superposition of both decayed and undecayed states. This implies the cat would be simultaneously both alive and dead until someone opens the box to check. The experiment highlights the disconnect between quantum mechanical principles and our everyday experience of reality, challenging our understanding of observation.
D2-20;For a fossil to exist it needs to survive a long time. Many animals are active kills by predictors. In such cases one might find a few teeth but most bone and tissue is gone. In rain forests the amount of insects make finding anything unlikely. Any animal is quickly dissected. Bones often dissolve in the slightly acid rain. Good places to find fossils are hence riverbeds or banks where cold freezing water quickly kills the animal and sediments are readily available to bury the remains long enough to begin the next step in the fossilization process. Similarly lakes that break through a wall and empty might evaporate and have large amount of fish and other animals.
D2-21;The probability of extraterrestrial life existing remains one of science's great unknowns, with estimates varying widely based on different assumptions and models. While we lack direct evidence of life beyond Earth, several scientific factors inform our understanding:
The Drake Equation, formulated in 1961, attempts to estimate the number of active, communicative extraterrestrial civilizations in our galaxy by multiplying several probability factors. However, many of these factors remain highly uncertain. Many astrobiologists consider microbial life likely to exist elsewhere, with estimates ranging from cautious to highly optimistic. The probability of intelligent civilizations remains more speculative, with the Fermi Paradox (questioning why we haven't detected them) suggesting either rarity or communication difficulties.
D2-22;Insects can be used for food production and are already consumed in many cultures worldwide. They are a nutritious, sustainable, and environmentally friendly protein source. Edible insects such as crickets, mealworms, grasshoppers, and black soldier fly larvae are rich in protein, healthy fats, vitamins, and minerals like iron and zinc. Compared to traditional livestock, insect farming requires less land, water, and feed, while producing lower greenhouse gas emissions. Insects can be used in whole form, ground into flours for protein bars, pasta, or baked goods, or processed into animal feed. While cultural barriers exist in some regions, the growing interest in sustainable food sources is driving research and commercial production of edible insects globally.
D2-23;Diabetes type 1 and type 2 are both chronic conditions affecting blood sugar regulation but have different causes and mechanisms. Type 1 diabetes is an autoimmune disease where the immune system attacks insulin-producing cells in the pancreas, leading to little or no insulin production. It usually develops in childhood or adolescence and requires lifelong insulin therapy. Type 2 diabetes is primarily caused by insulin resistance, where the body still produces insulin but cannot use it effectively. It is more common in adults and is strongly linked to obesity, diet, and lifestyle factors. Type 2 can often be managed with diet, exercise, and medication, while type 1 requires insulin replacement. Both types require careful blood sugar management to prevent complications.
D2-24;Entomophagy—the practice of consuming insects as food—has deep historical roots in many cultures worldwide, with approximately 2 billion people regularly incorporating insects into their diets. While Western societies have traditionally viewed insects with disgust, growing environmental and food security concerns have sparked renewed interest in this protein source. Nutritionally, edible insects offer impressive benefits. Most species provide complete proteins containing all essential amino acids, often at higher concentrations than conventional meats. Many insects are rich in micronutrients like iron, zinc, and B vitamins, while containing healthy fats including omega-3 fatty acids. Cricket flour, for example, contains approximately 60-70% protein by weight, exceeding most plant and animal sources.
D2-25;Quarks and gluons are fundamental particles in the Standard Model of particle physics, both essential to our understanding of strong nuclear forces, yet they differ in several key ways. Fundamental Nature Quarks are elementary fermions that serve as the building blocks of hadrons (protons, neutrons, and other composite particles). Six flavors exist: up, down, charm, strange, top, and bottom. In contrast, gluons are gauge bosons that mediate the strong force between quarks, similar to how photons mediate the electromagnetic force. Properties Quarks possess fractional electric charges (+2/3 or -1/3), mass, spin-1/2, and color charge. Gluons are massless, have spin-1, carry no electric charge, but uniquely possess both color and anticolor charges.
D2-26;The global increase in demand for meat and the limited land area available prompt the search for alternative protein sources. Also the sustainability of meat production has been questioned. Edible insects as an alternative protein source for human food and animal feed are interesting in terms of low greenhouse gas emissions, high feed conversion efficiency, low land use, and their ability to transform low value organic side streams into high value protein products. More than 2000 insect species are eaten mainly in tropical regions. The role of edible insects in the livelihoods and nutrition of people in tropical countries is discussed, but this food source is threatened
D2-27;In 1802, Lamarck published Hydrogéologie, and became one of the first to use the term biology in its modern sense. In Hydrogéologie, Lamarck advocated a steady-state geology based on a strict uniformitarianism. He argued that global currents tended to flow from east to west, and continents eroded on their eastern borders, with the material carried across to be deposited on the western borders. Thus, the Earth's continents marched steadily westward around the globe. That year, he also published Recherches sur l'Organisation des Corps Vivants, in which he drew out his theory on evolution. He believed that all life was organized in a vertical chain, with gradation between the lowest forms and the highest forms of life.
D2-28;Fossils have played a significant role in shaping Greek mythology, as ancient Greeks often interpreted large, mysterious bones as evidence of mythical creatures. The discovery of massive fossils, such as those of mammoths, mastodons, and prehistoric reptiles, likely influenced myths about giants, cyclopes, and dragons. For instance, the large skulls of prehistoric elephants, which have a central nasal cavity, may have been mistaken for the skulls of one-eyed Cyclopes, reinforcing the legend of these formidable beings. Similarly, fossilized bones of large extinct animals could have inspired stories of titans and heroes slaying monstrous beasts. Greek naturalists like Herodotus and Pliny the Elder documented fossil findings, showing early attempts to explain these remains within a mythological and historical framework.
D2-29;Synthetic biology emerged as a specialized branch of bioengineering over the last 15-20 years, propelled by the technologies of DNA sequencing and DNA synthesis. The emphasis is now on characterizing molecular components and standardizing them so that they work together. Today, computer programming languages have become more abstract by building upon previous languages, making it easier and faster to create complex programs. Similarly, in the future, standardized molecular components will make biology understandable through abstraction. This will in turn make it easier to engineer new functions. Of course any biological abstraction would rely on molecular details (just like all computer code is finally executed as assembly), so studying molecular biology is very worthwhile. 
D2-30;More than 1,900 species of edible insects are consumed worldwide. However, this number continues to increase as more studies are carried out on this issue. Most of these known species are collected directly from the natural environment, but available data on the amounts of insects that are ingested worldwide are scarce. In any case, there is agreement that of the hundreds of insect species used as human food worldwide, the most common can be encompassed into four groups: beetles; ants, bees and wasps; grasshoppers and crickets and, finally, moths, caterpillars, and butterflies. According to FAO, the most consumed insects are beetles (Coleoptera, 31%), caterpillars (Lepidoptera, 18%) and bees, wasps and ants (Hymenoptera, 14%).
